MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|DE-LU
03.01.2020 01:00 - 03.01.2020 01:15,29.81,EUR,
03.01.2020 01:15 - 03.01.2020 01:30,22.85,EUR,
03.01.2020 01:30 - 03.01.2020 01:45,14.45,EUR,
03.01.2020 01:45 - 03.01.2020 02:00,3.43,EUR,
03.01.2020 02:00 - 03.01.2020 02:15,17.69,EUR,
03.01.2020 02:15 - 03.01.2020 02:30,15.85,EUR,
03.01.2020 02:30 - 03.01.2020 02:45,14.78,EUR,
03.01.2020 02:45 - 03.01.2020 03:00,11.65,EUR,
03.01.2020 03:00 - 03.01.2020 03:15,7,EUR,
03.01.2020 03:15 - 03.01.2020 03:30,9,EUR,
03.01.2020 03:30 - 03.01.2020 03:45,11.73,EUR,
03.01.2020 03:45 - 03.01.2020 04:00,12.73,EUR,
03.01.2020 04:00 - 03.01.2020 04:15,2.25,EUR,
03.01.2020 04:15 - 03.01.2020 04:30,4.13,EUR,
03.01.2020 04:30 - 03.01.2020 04:45,16.29,EUR,
03.01.2020 04:45 - 03.01.2020 05:00,17.99,EUR,
03.01.2020 05:00 - 03.01.2020 05:15,2.76,EUR,
03.01.2020 05:15 - 03.01.2020 05:30,7.14,EUR,
03.01.2020 05:30 - 03.01.2020 05:45,19.5,EUR,
03.01.2020 05:45 - 03.01.2020 06:00,33,EUR,
03.01.2020 06:00 - 03.01.2020 06:15,2.89,EUR,
03.01.2020 06:15 - 03.01.2020 06:30,21.05,EUR,
03.01.2020 06:30 - 03.01.2020 06:45,35.31,EUR,
03.01.2020 06:45 - 03.01.2020 07:00,46.75,EUR,
03.01.2020 07:00 - 03.01.2020 07:15,17.53,EUR,
03.01.2020 07:15 - 03.01.2020 07:30,29,EUR,
03.01.2020 07:30 - 03.01.2020 07:45,45.58,EUR,
03.01.2020 07:45 - 03.01.2020 08:00,40.69,EUR,
03.01.2020 08:00 - 03.01.2020 08:15,29.84,EUR,
03.01.2020 08:15 - 03.01.2020 08:30,40.2,EUR,
03.01.2020 08:30 - 03.01.2020 08:45,42.19,EUR,
03.01.2020 08:45 - 03.01.2020 09:00,35.74,EUR,
03.01.2020 09:00 - 03.01.2020 09:15,36.65,EUR,
03.01.2020 09:15 - 03.01.2020 09:30,41.59,EUR,
03.01.2020 09:30 - 03.01.2020 09:45,38.04,EUR,
03.01.2020 09:45 - 03.01.2020 10:00,33.69,EUR,
03.01.2020 10:00 - 03.01.2020 10:15,38.07,EUR,
03.01.2020 10:15 - 03.01.2020 10:30,40.15,EUR,
03.01.2020 10:30 - 03.01.2020 10:45,36.44,EUR,
03.01.2020 10:45 - 03.01.2020 11:00,33.41,EUR,
03.01.2020 11:00 - 03.01.2020 11:15,34.96,EUR,
03.01.2020 11:15 - 03.01.2020 11:30,40.63,EUR,
03.01.2020 11:30 - 03.01.2020 11:45,37.16,EUR,
03.01.2020 11:45 - 03.01.2020 12:00,37.34,EUR,
03.01.2020 12:00 - 03.01.2020 12:15,36.25,EUR,
03.01.2020 12:15 - 03.01.2020 12:30,39.57,EUR,
03.01.2020 12:30 - 03.01.2020 12:45,37.4,EUR,
03.01.2020 12:45 - 03.01.2020 13:00,36.78,EUR,
03.01.2020 13:00 - 03.01.2020 13:15,33.28,EUR,
03.01.2020 13:15 - 03.01.2020 13:30,34.22,EUR,
03.01.2020 13:30 - 03.01.2020 13:45,37.61,EUR,
03.01.2020 13:45 - 03.01.2020 14:00,41.01,EUR,
03.01.2020 14:00 - 03.01.2020 14:15,31.91,EUR,
03.01.2020 14:15 - 03.01.2020 14:30,33.87,EUR,
03.01.2020 14:30 - 03.01.2020 14:45,38.6,EUR,
03.01.2020 14:45 - 03.01.2020 15:00,41.66,EUR,
03.01.2020 15:00 - 03.01.2020 15:15,29.35,EUR,
03.01.2020 15:15 - 03.01.2020 15:30,35.29,EUR,
03.01.2020 15:30 - 03.01.2020 15:45,41.25,EUR,
03.01.2020 15:45 - 03.01.2020 16:00,43.26,EUR,
03.01.2020 16:00 - 03.01.2020 16:15,30.21,EUR,
03.01.2020 16:15 - 03.01.2020 16:30,36.29,EUR,
03.01.2020 16:30 - 03.01.2020 16:45,41.44,EUR,
03.01.2020 16:45 - 03.01.2020 17:00,49.33,EUR,
03.01.2020 17:00 - 03.01.2020 17:15,37.88,EUR,
03.01.2020 17:15 - 03.01.2020 17:30,40.82,EUR,
03.01.2020 17:30 - 03.01.2020 17:45,41.13,EUR,
03.01.2020 17:45 - 03.01.2020 18:00,42.31,EUR,
03.01.2020 18:00 - 03.01.2020 18:15,40.7,EUR,
03.01.2020 18:15 - 03.01.2020 18:30,39.54,EUR,
03.01.2020 18:30 - 03.01.2020 18:45,42.21,EUR,
03.01.2020 18:45 - 03.01.2020 19:00,39.56,EUR,
03.01.2020 19:00 - 03.01.2020 19:15,47.85,EUR,
03.01.2020 19:15 - 03.01.2020 19:30,39.74,EUR,
03.01.2020 19:30 - 03.01.2020 19:45,37.61,EUR,
03.01.2020 19:45 - 03.01.2020 20:00,29.89,EUR,
03.01.2020 20:00 - 03.01.2020 20:15,50.95,EUR,
03.01.2020 20:15 - 03.01.2020 20:30,39.6,EUR,
03.01.2020 20:30 - 03.01.2020 20:45,33.54,EUR,
03.01.2020 20:45 - 03.01.2020 21:00,24.13,EUR,
03.01.2020 21:00 - 03.01.2020 21:15,37.07,EUR,
03.01.2020 21:15 - 03.01.2020 21:30,36.85,EUR,
03.01.2020 21:30 - 03.01.2020 21:45,31.01,EUR,
03.01.2020 21:45 - 03.01.2020 22:00,21.03,EUR,
03.01.2020 22:00 - 03.01.2020 22:15,48.42,EUR,
03.01.2020 22:15 - 03.01.2020 22:30,36.33,EUR,
03.01.2020 22:30 - 03.01.2020 22:45,22,EUR,
03.01.2020 22:45 - 03.01.2020 23:00,9.3,EUR,
03.01.2020 23:00 - 03.01.2020 23:15,42.75,EUR,
03.01.2020 23:15 - 03.01.2020 23:30,33.39,EUR,
03.01.2020 23:30 - 03.01.2020 23:45,20,EUR,
03.01.2020 23:45 - 04.01.2020 00:00,1.5,EUR,
04.01.2020 00:00 - 04.01.2020 00:15,31.07,EUR,
04.01.2020 00:15 - 04.01.2020 00:30,25.98,EUR,
04.01.2020 00:30 - 04.01.2020 00:45,18.22,EUR,
04.01.2020 00:45 - 04.01.2020 01:00,4.16,EUR,
04.01.2020 01:00 - 04.01.2020 01:15,19.66,EUR,
04.01.2020 01:15 - 04.01.2020 01:30,14.61,EUR,
04.01.2020 01:30 - 04.01.2020 01:45,13.06,EUR,
04.01.2020 01:45 - 04.01.2020 02:00,5.43,EUR,
04.01.2020 02:00 - 04.01.2020 02:15,11.07,EUR,
04.01.2020 02:15 - 04.01.2020 02:30,9.1,EUR,
04.01.2020 02:30 - 04.01.2020 02:45,6.91,EUR,
04.01.2020 02:45 - 04.01.2020 03:00,3.32,EUR,
04.01.2020 03:00 - 04.01.2020 03:15,10.25,EUR,
04.01.2020 03:15 - 04.01.2020 03:30,6.2,EUR,
