"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"02.01.2018 07:45 - 02.01.2018 08:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15258","n/e"
"02.01.2018 08:00 - 02.01.2018 08:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15169","n/e"
"02.01.2018 08:15 - 02.01.2018 08:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15048","n/e"
"02.01.2018 08:30 - 02.01.2018 08:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15034","n/e"
"02.01.2018 08:45 - 02.01.2018 09:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14919","n/e"
"02.01.2018 09:00 - 02.01.2018 09:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14873","n/e"
"02.01.2018 09:15 - 02.01.2018 09:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14854","n/e"
"02.01.2018 09:30 - 02.01.2018 09:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14823","n/e"
"02.01.2018 09:45 - 02.01.2018 10:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14899","n/e"
"02.01.2018 10:00 - 02.01.2018 10:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14938","n/e"
"02.01.2018 10:15 - 02.01.2018 10:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14890","n/e"
"02.01.2018 10:30 - 02.01.2018 10:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14781","n/e"
"02.01.2018 10:45 - 02.01.2018 11:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14745","n/e"
"02.01.2018 11:00 - 02.01.2018 11:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","14863","n/e"
"02.01.2018 11:15 - 02.01.2018 11:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15087","n/e"
"02.01.2018 11:30 - 02.01.2018 11:45","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15255","n/e"
"02.01.2018 11:45 - 02.01.2018 12:00","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15409","n/e"
"02.01.2018 12:00 - 02.01.2018 12:15","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15507","n/e"
"02.01.2018 12:15 - 02.01.2018 12:30","n/e","n/e","n/e","n/e","N/A","n/e","n/e","15578","n/e"
